male	max_count	median	date	n	mean	min_count	filename	nulls	mean_count	sd	female	min	other	median_count	max	study accession	primary phenotype
465.0			11/02/2015	767.0			./data/phs000639.v1.pht004781.v1.p1.Autism_Spectrum_Disorder_Subject_Phenotypes.var_report.xml	0.0			70.0					phs000639.v1.p1	Autism Spectrum Disorder
1.0	3.0		2019/06/24	4.0		1.0	./data/phs001836.v1.pht009219.v1.p1.Neocortical_Development_Subject_Phenotypes.var_report.xml	0.0	2.0	1.414	3.0			2.0		phs001836.v1.p1	Autism Spectrum Disorder
			2021/04/07				./data/phs001349.v2.pht010328.v1.p1.TGCT_Sample.var_report.xml									phs001349.v2.p1	Testicular Germ Cell Tumor
			2019/10/15				./data/phs001910.v1.pht009536.v1.p1.PNETs_Sample.var_report.xml									phs001910.v1.p1	Neuroendocrine Tumors
			11/05/2014				./data/phs000209.v13.pht001112.v2.p3.MESA_AirNRSpirometry.var_report.xml									phs000209.v13.p3	Cardiovascular Diseases
			2020/02/06				./data/phs001430.v2.pht009850.v1.p1.protocol_deviation_report.var_report.xml									phs001430.v2.p1	Smith-Lemli-Opitz Syndrome
18.0	22.0		2021/01/07	40.0		18.0	./data/phs002073.v1.pht010826.v1.p1.Infant_Immunity_Subject.var_report.xml	0.0	20.0	2.828	22.0			20.0		phs002073.v1.p1	Breast Feeding
			2020/12/21				./data/phs000007.v32.pht003095.v4.p13.l_mma_ex01_3_0602s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2017/08/17				./data/phs001399.v1.pht006680.v1.p1.Neoadjuvant_Adjuvant_Therapies_Subject.var_report.xml									phs001399.v1.p1	Prostatic Neoplasms
			2021/01/26				./data/phs001427.v2.pht007485.v2.p1.Melanoma_CPB_Resistance_Sample.var_report.xml									phs001427.v2.p1	Immunotherapy
68.0	68.0		2021/01/12	63.0		89.0	./data/phs001617.v1.pht010618.v1.p1.Growth_Disorders_Pedigree.var_report.xml	0.0	97.0	7.778	89.0			97.0		phs001617.v1.p1	Growth Disorders
			04/14/2014				./data/phs000370.v2.pht002384.v1.p1.Head_Neck_Squamous_Cell_Carcinoma_Sample_Attributes.var_report.xml									phs000370.v2.p1	Head and Neck Neoplasms
			2017/08/09				./data/phs000694.v3.pht003755.v3.p2.Clinical_Cancer_Sequencing_Sample.var_report.xml									phs000694.v3.p2	Neoplasms
			2021/09/29				./data/phs001608.v2.pht009733.v1.p1.TOPMed_WGS_OMG_SCD_Subject.var_report.xml									phs001608.v2.p1	Anemia, Sickle Cell
			08/21/2014				./data/phs000772.v1.pht003994.v1.p1.GenePARE_Subject.var_report.xml									phs000772.v1.p1	Prostatic Neoplasms
			2019/03/21				./data/phs001235.v1.pht008445.v1.p1.MDA5_Deficiency_Subject.var_report.xml									phs001235.v1.p1	Immunologic Deficiency Syndromes
			07/21/2016				./data/phs000840.v1.pht005644.v1.p1.GoT2D_Sample_Attributes.var_report.xml									phs000840.v1.p1	Type 2 Diabetes Mellitus
			02/18/2015				./data/phs000857.v1.pht004490.v1.p1.ER_Positive_Breast_Cancer_Sample_Attributes.var_report.xml									phs000857.v1.p1	Breast Neoplasms
			03/28/2017				./data/phs001249.v1.pht006177.v1.p1.SCLC_Chemoresistance_Sample_Attributes.var_report.xml									phs001249.v1.p1	Lung Neoplasms
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000440.v2.p3.simphen041.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			04/29/2014				./data/phs000630.v1.pht003384.v1.p1.NIMH_Controls_Sample_Attributes.var_report.xml									phs000630.v1.p1	Normalcy
			11/08/2013				./data/phs000200.v9.pht003400.v1.p3.outc_bc_cad_rel4.var_report.xml									phs000200.v9.p3	Women&#39;s Health
			2021/10/21				./data/phs001138.v4.pht007937.v3.p2.GMKF_CHD_PCGC_Subject.var_report.xml									phs001138.v4.p2	Heart Defects, Congenital
			2017/12/20				./data/phs000577.v1.pht007288.v1.p1.rd_8403_qualityoflife.var_report.xml									phs000577.v1.p1	Urea Cycle Disorders, Inborn
			05/05/2015				./data/phs000517.v3.pht002913.v1.p1.Multiethnic_Cohort_Study_Subject.var_report.xml									phs000517.v3.p1	Breast Neoplasms
			2019/03/22				./data/phs000842.v2.pht004402.v2.p1.PediGFR_Subject.var_report.xml									phs000842.v2.p1	Kidney Diseases
			08/21/2015				./data/phs000830.v1.pht004920.v1.p1.cSCC_XPC_Mutation_Rates_Subject.var_report.xml									phs000830.v1.p1	Xeroderma Pigmentosum, Complementation Group C
			2021/04/08				./data/phs002344.v1.pht011122.v1.p1.PAX3_FOXO1_RMS_Sample_Attributes.var_report.xml									phs002344.v1.p1	Rhabdomyosarcoma
7.0			2017/10/10	12.0			./data/phs001424.v1.pht007000.v1.p1.Glioblastoma_Phylogeny_Subject_Phenotypes.var_report.xml	0.0			5.0					phs001424.v1.p1	Glioblastoma
			2021/04/19				./data/phs002394.v1.pht011135.v1.p1.PDAC_Sample_Attributes.var_report.xml									phs002394.v1.p1	pancreatic cancer
			2020/06/02				./data/phs002040.v1.pht010257.v1.p1.IL37_IBD_Subject.var_report.xml									phs002040.v1.p1	Inflammatory Bowel Diseases
			12/01/2015				./data/phs000571.v3.pht003173.v3.p2.PCGC_Subject.var_report.xml									phs000571.v3.p2	Heart Defects, Congenital
			10/25/2010				./data/phs000021.v3.pht002001.v1.p2.GAIN_Schizophrenia_Subject.var_report_2010_10_25.xml									phs000021.v3.p2	Schizophrenia
			11/05/2014				./data/phs000209.v13.pht003607.v1.p3.MESA_AncilMesaNeighborFoodExam3.var_report.xml									phs000209.v13.p3	Cardiovascular Diseases
			2020/06/18				./data/phs000280.v7.pht006422.v1.p1.CBC.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
841.0	984.0		12/16/2014	924.0		841.0	./data/phs000018.v2.pht000062.v1.p1.GOKIND_Phenotype_GAIN.var_report.xml	0.0	912.5	4.243	984.0			912.5		phs000018.v2.p1	Diabetic Nephropathies
			2018/10/24				./data/phs001693.v1.pht008488.v1.p1.Maternal_Fetal_IR_Subject.var_report.xml									phs001693.v1.p1	MicroRNAs
			06/14/2010				./data/phs000263.v1.pht001234.v1.p1.HMP_Skin_Acne_Sample_Attributes.var_report.xml									phs000263.v1.p1	Acne Vulgaris
			2018/03/21				./data/phs001512.v1.pht007666.v1.p1.IR_Signatures_Sample.var_report.xml									phs001512.v1.p1	Immune System Phenomena
1515.0	52256.0		05/16/2017	84717.0		32461.0	./data/phs001252.v1.pht006403.v1.p1.vdlgctp.var_report.xml	0.0	42359.0	13997	992.0			42359.0		phs001252.v1.p1	Pulmonary Disease, Chronic Obstructive
			03/02/2016				./data/phs000267.v5.pht002355.v2.p2.Autism_Genome_Project_Sample_Attributes.var_report.xml									phs000267.v5.p2	Autistic Disorder
			2018/08/19				./data/phs000101.v5.pht001148.v4.p1.ALS_Subject.var_report.xml									phs000101.v5.p1	Amyotrophic Lateral Sclerosis
			03/06/2017				./data/phs000574.v1.pht005864.v1.p1.deathrecord.var_report.xml									phs000574.v1.p1	Rett Syndrome
			2021/05/07				./data/phs000946.v5.pht004972.v3.p1.TOPMed_WGS_Boston_EO_COPD_Subject.var_report.xml									phs000946.v5.p1	Chronic Obstructive Pulmonary Disease
277.0	409.0		Wed Nov 26 07:49:58 2008	686.0		277.0	./data/phs000017.v3.pht000383.v1.p1.AA_GAIN_phenotype_controls_main_subset.var_report_2008_11_26.xml	0.0	343.0	93.34	409.0			343.0		phs000017.v3.p1	Bipolar Disorder
7431.0	7431.0		07/10/2017	8491.0		851.0	./data/phs001202.v1.pht005775.v1.p1.OncoArray_Oral_Pharynx_Cancer_Subject_Phenotypes.var_report.xml	0.0	802.5	376.9	851.0			802.5		phs001202.v1.p1	Head and Neck Neoplasms
			2019/10/07				./data/phs001351.v1.pht009410.v1.p1.Inherited_Neuropathy_Subject.var_report.xml									phs001351.v1.p1	Inherited Peripheral Neuropathy
			08/20/2013				./data/phs000285.v3.pht001672.v2.p2.C1F31.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2021/07/21				./data/phs002464.v1.pht011336.v1.p1.Familial_AF_Sample_Attributes.var_report.xml									phs002464.v1.p1	Atrial Fibrillation
			12/02/2016				./data/phs000847.v2.pht004633.v2.p1.T2D_GENES_SAMAFS_Subject.var_report.xml									phs000847.v2.p1	Diabetes Mellitus, Type 2
			2018/07/23				./data/phs000742.v1.pht008110.v1.p1.7_3_Specimens.var_report.xml									phs000742.v1.p1	Epilepsy
			2019/08/01				./data/phs001839.v1.pht009355.v1.p1.Deep_Seq_Cancers_Subject.var_report.xml									phs001839.v1.p1	Neoplasms
55.0	53.0		2021/07/16	83.0		55.0	./data/phs001603.v2.pht009970.v1.p1.TOPMed_WGS_ChildrensHS_IGERA_Subject_Phenotypes.var_report.xml	0.0	80.0	35.36	53.0			80.0		phs001603.v2.p1	Asthma
			10/06/2011				./data/phs000333.v1.pht002311.v1.p1.FIND_Subject.var_report.xml									phs000333.v1.p1	Diabetes Mellitus
			07/15/2010				./data/phs000292.v1.pht001524.v1.p1.GEOS_Subject.var_report_2010_07_15.xml									phs000292.v1.p1	Stroke
			2018/10/30				./data/phs001724.v1.pht008506.v1.p1.Pain_Resilience_Sample.var_report.xml									phs001724.v1.p1	Erythromelalgia
			2020/01/10				./data/phs001954.v1.pht009797.v1.p1.ICPC_LUAD_Taiwan_Sample.var_report.xml									phs001954.v1.p1	Adenocarcinoma of Lung
			01/19/2010				./data/phs000219.v1.pht001066.v1.p1.d_csa02L1_2_trans.var_report_2010_01_19.xml									phs000219.v1.p1	Alzheimer Disease
33.0	33.0		12/27/2012	57.0		24.0	./data/phs000524.v1.pht002918.v1.p1.CRIC_Subject_Phenotypes.var_report.xml	0.0	28.5	6.364	24.0			28.5		phs000524.v1.p1	Chronic Renal Insufficiency
			2021/03/30				./data/phs001988.v1.pht010928.v1.p1.mCRPC_Sample.var_report.xml									phs001988.v1.p1	Prostatic Neoplasms
			02/22/2013				./data/phs000339.v2.pht002137.v1.p1.Mitochondrial_OXPHOS_Diseases_Sample.var_report.xml									phs000339.v2.p1	Mitochondrial Diseases
			2017/12/04				./data/phs001419.v1.pht007092.v1.p1.p6601_12811_cmtss.var_report.xml									phs001419.v1.p1	Charcot-Marie-Tooth Disease
30.0	30.0		2019/06/24	41.0		11.0	./data/phs001784.v1.pht009002.v1.p1.HCC_Imaging_Subject_Phenotypes.var_report.xml	0.0	20.5	13.44	11.0			20.5		phs001784.v1.p1	Carcinoma, Hepatocellular
			2020/07/10				./data/phs001886.v2.pht009416.v2.p1.Placenta_Term_Preterm_Subject.var_report.xml									phs001886.v2.p1	Pregnancy, COVID-19
4.0	4.0		2021/03/31	4.0		4.0	./data/phs002365.v1.pht011087.v1.p1.BWS_Subject.var_report.xml	0.0	4.0					4.0		phs002365.v1.p1	Beckwith-Wiedemann Syndrome
706.0	763.0		2020/12/14	611.0		388.0	./data/phs001984.v1.pht010782.v1.p1.MN_Subject.var_report.xml	0.0	619.0	76.03	388.0			706.0		phs001984.v1.p1	Glomerulonephritis, Membranous
			2021/08/11				./data/phs001785.v1.pht011460.v1.p1.GMKF_Hemangiomas_Sample.var_report.xml									phs001785.v1.p1	Hemangioma
			2018/06/14				./data/phs001238.v2.pht006656.v1.p1.GENOA_EuropeanAmerican_Phase1_Medications.var_report.xml									phs001238.v2.p1	Hypertension
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000519.v2.p3.simphen120.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			2020/06/18				./data/phs000280.v7.pht004048.v5.p1.cderps16.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
51.0	51.0		04/05/2017	95.0		83.0	./data/phs000987.v1.pht004970.v1.p1.WES_P1_22q11_Subject_Phenotypes.var_report.xml	0.0	92.0	7.778	83.0			92.0		phs000987.v1.p1	DiGeorge Syndrome
204.0	210.0		03/15/2016	414.0		204.0	./data/phs001074.v1.pht005340.v1.p1.GeneSTAR_Platelet_Aggregation_iPS_MKs_Pedigree.var_report.xml	0.0	207.0	4.243	210.0			207.0		phs001074.v1.p1	Platelet Aggregation
			11/07/2014				./data/phs000826.v1.pht004337.v1.p1.Adjuvant_Trastuzumab_Breast_Cancer_Sample_Attributes.var_report.xml									phs000826.v1.p1	Breast Neoplasms
990.0	1582.0		2018/04/12	2573.0		1.0	./data/phs001458.v1.pht007781.v1.p1.Cannabis_Stimulant_Dependence_Subject_Phenotypes.var_report.xml	0.0	857.7	798.8	1582.0			990.0		phs001458.v1.p1	Marijuana Abuse
			2019/07/26				./data/phs000588.v1.pht009302.v1.p1.lvv_baseline_med_hx_form.var_report.xml									phs000588.v1.p1	Giant Cell Arteritis
			2020/07/24				./data/phs001194.v3.pht005820.v2.p2.KaryotypeAbnormalitiesProband.var_report.xml									phs001194.v3.p2	Heart Defects, Congenital
			04/08/2014				./data/phs000487.v2.pht002925.v1.p1.Prostate_Cancer_Risk_Subject_Phenotypes.var_report.xml									phs000487.v2.p1	Prostatic Neoplasms
			2019/08/01				./data/phs001871.v1.pht009360.v1.p1.CCDG_CCC_AA_Sample.var_report.xml									phs001871.v1.p1	Cardiovascular Diseases
			2019/03/11				./data/phs000286.v6.pht008791.v1.p2.uldadv.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
71.0			2018/01/18	109.0			./data/phs001513.v1.pht007358.v1.p1.Chemo_Resistance_T_ALL_Subject_Phenotypes.var_report.xml	0.0			38.0					phs001513.v1.p1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
			05/24/2017				./data/phs000576.v1.pht006158.v1.p1.registration.var_report.xml									phs000576.v1.p1	Angelman Syndrome
			2021/08/30				./data/phs002457.v1.pht011516.v1.p1.TNBC_BrM_Sample.var_report.xml									phs002457.v1.p1	Triple Negative Breast Neoplasms
64.0	64.0		2020/06/30	117.0		53.0	./data/phs002049.v1.pht010297.v1.p1.Myeloid_Malignancies_Subject_Phenotypes.var_report.xml	0.0	58.5	7.778	53.0			58.5		phs002049.v1.p1	Acute Myeloid Leukemia
			2021/03/31				./data/phs001561.v1.pht010997.v1.p1.CCGO_Sample.var_report.xml									phs001561.v1.p1	Immunologic Deficiency Syndromes
			08/20/2013				./data/phs000285.v3.pht001758.v2.p2.E1F03.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			08/01/2016				./data/phs000744.v4.pht003980.v4.p2.Y_CMG_Sample_Attributes.var_report.xml									phs000744.v4.p2	Familial Idiopathic Pulmonary Fibrosis
			2019/10/15				./data/phs001910.v1.pht009537.v1.p1.PNETs_GEO.var_report.xml									phs001910.v1.p1	Neuroendocrine Tumors
			2017/10/10				./data/phs001372.v1.pht006535.v1.p1.CLL_Integrated_Single_Cell_Sample_Attributes.var_report.xml									phs001372.v1.p1	Leukemia, Lymphoid
	3.0		2021/01/08	4.0		1.0	./data/phs002309.v1.pht010838.v1.p1.Melanoma_Associated_Vitiligo_Subject.var_report.xml	0.0	2.0	1.414				2.0		phs002309.v1.p1	Melanoma
			04/06/2016				./data/phs001080.v1.pht005373.v1.p1.Hereditary_Spastic_Paraplegia_Sample_Attributes.var_report.xml									phs001080.v1.p1	Spastic Paraplegia, Hereditary
9.0	9.0		2021/01/06	13.0		4.0	./data/phs002252.v1.pht010670.v1.p1.RCC_Subject_Phenotypes.var_report.xml	0.0	6.5	3.536	4.0			6.5		phs002252.v1.p1	Carcinoma, Renal Cell
			2019/11/14				./data/phs001865.v1.pht009611.v1.p1.AAMP_Subject_Phenotypes.var_report.xml									phs001865.v1.p1	
928.0	927.0		2019/01/29	915.0		862.0	./data/phs001298.v1.pht008648.v1.p1.Psoriasis_European_Subject_Phenotypes.var_report.xml	0.0	899.7	777.7	927.0			920.0		phs001298.v1.p1	Psoriasis
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000507.v2.p3.simphen108.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			2018/05/15				./data/phs001311.v1.pht007931.v1.p1.mexelitine_ekg_form.var_report.xml									phs001311.v1.p1	Myotonia
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000589.v2.p3.simphen190.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
1664.0	2459.0		2021/08/24	2930.0		471.0	./data/phs002185.v1.pht010969.v1.p1.Recipient_Phenotype.var_report.xml	0.0	732.5	353.4	1266.0			648.5		phs002185.v1.p1	Graft vs Host Disease
360.0	399.0		2021/01/08	759.0		360.0	./data/phs000649.v2.pht003760.v2.p2.PEAR1.var_report.xml	0.0	379.5	27.58	399.0			379.5		phs000649.v2.p2	Hypertension
			01/13/2016				./data/phs000928.v1.pht004938.v1.p1.LGG_Probiotics_Transcriptome_Sample.var_report.xml									phs000928.v1.p1	Volunteers, Human
			2018/03/21				./data/phs001529.v1.pht007369.v1.p1.scRNASeq_RA_Microfluidic_Sample.var_report.xml									phs001529.v1.p1	Arthritis, Rheumatoid
			2019/06/14				./data/phs000589.v1.pht009195.v1.p1.patientglobalassessment.var_report.xml									phs000589.v1.p1	Takayasu Arteritis
			2018/03/21				./data/phs001512.v1.pht007668.v1.p1.IR_Signatures_Sample_Attributes.var_report.xml									phs001512.v1.p1	Immune System Phenomena
			05/08/2017				./data/phs001320.v1.pht006290.v1.p1.Placentation_Pregnancy_CVS_Subject_Phenotypes.var_report.xml									phs001320.v1.p1	Pre-eclampsia
			2020/01/23				./data/phs000287.v7.pht001485.v1.p1.YR16PH.var_report.xml									phs000287.v7.p1	Cardiovascular Diseases
			04/10/2014				./data/phs000340.v3.pht002210.v2.p1.ETP_T_ALL_Sample_Attributes.var_report.xml									phs000340.v3.p1	Leukemia, T-cell
			04/01/2010				./data/phs000089.v3.pht000801.v2.p2.ParkinsonsDisease_Subject.var_report_2010_04_01.xml									phs000089.v3.p2	Parkinson Disease
			2018/10/02				./data/phs001702.v1.pht008425.v1.p1.Lupus_eQTL_Subject.var_report.xml									phs001702.v1.p1	Lupus Erythematosus, Systemic
169.0	169.0		2019/08/07	261.0		92.0	./data/phs001823.v1.pht009058.v1.p1.Lung_Cancer_Cell_Lines_Subject_Phenotypes.var_report.xml	18.0	130.5	54.45	92.0			130.5		phs001823.v1.p1	Carcinoma, Non-Small-Cell Lung
398.0	445.0		08/08/2011	843.0		398.0	./data/phs000353.v1.pht002257.v1.p1.Preterm_Birth_AA_Subject_Phenotypes_116.var_report.xml	0.0	421.5	33.23	445.0			421.5		phs000353.v1.p1	Premature Birth
			07/16/2015				./data/phs000153.v9.pht000836.v8.p8.vr_sntwk_2008_m_0641s.var_report.xml									phs000153.v9.p8	Social Behavior
			06/12/2017				./data/phs001371.v1.pht006546.v1.p1.TNF_RA_FLS_Sample_Attributes.var_report.xml									phs001371.v1.p1	Arthritis, Rheumatoid
			2017/09/18				./data/phs001310.v1.pht006873.v1.p1.spirometry.var_report.xml									phs001310.v1.p1	Kartagener Syndrome
			10/18/2012				./data/phs000547.v1.pht003008.v1.p1.GARNET_SUCCESS_Sample_Attributes.var_report.xml									phs000547.v1.p1	Breast Neoplasms
			06/13/2016				./data/phs000205.v6.pht001429.v6.p2.ISCA_Subject.var_report.xml									phs000205.v6.p2	Developmental Disabilities
			04/15/2014				./data/phs000719.v1.pht003738.v1.p1.PNTM_Sample_Attributes.var_report.xml									phs000719.v1.p1	Mycobacterium avium-intracellulare Infection
673.0	694.0		2020/03/09	437.0		673.0	./data/phs001299.v2.pht007620.v1.p1.Nicotine_Addiction_Pedigree.var_report.xml	0.0	683.5	48.08	694.0			683.5		phs001299.v2.p1	Behavior, Addictive
			06/16/2017				./data/phs001278.v1.pht006281.v1.p1.promis_assessment_pediatric.var_report.xml									phs001278.v1.p1	Porphyrias
			05/13/2015				./data/phs000769.v1.pht004005.v1.p1.LHMP_Subject_Phenotypes.var_report.xml									phs000769.v1.p1	HIV
			2018/03/06				./data/phs000603.v1.pht007553.v1.p1.treatmenthistoryform.var_report.xml									phs000603.v1.p1	Apparent mineralocorticoid excess
			12/19/2011				./data/phs000387.v1.pht002443.v1.p1.eMERGE_GeM_AAA_Sample.var_report.xml									phs000387.v1.p1	Abdominal Aortic Aneurysms
			2020/01/23				./data/phs000287.v7.pht001476.v1.p1.YR12ANNUAL.var_report.xml									phs000287.v7.p1	Cardiovascular Diseases
			04/10/2014				./data/phs000306.v4.pht002480.v1.p1.MEC_Prostate_Cancer_Sample_Attribute.var_report.xml									phs000306.v4.p1	Prostatic Neoplasms
			2018/01/11				./data/phs001421.v1.pht007025.v1.p1.Uveal_Melanoma_Pathogenesis_Subject.var_report.xml									phs001421.v1.p1	Uveal melanoma
			2018/05/03				./data/phs000304.v3.pht001904.v1.p1.GABC_Subject.var_report.xml									phs000304.v3.p1	von Willebrand Disease
			2018/02/20				./data/phs001528.v1.pht007360.v1.p1.SCCOHT_Subject.var_report.xml									phs001528.v1.p1	Ovarian Neoplasms
			2020/03/04				./data/phs000876.v2.pht005184.v2.p1.TRICL_Subject.var_report.xml									phs000876.v2.p1	Lung Neoplasms
			11/30/2015				./data/phs001007.v1.pht005066.v1.p1.HNSCC_Metastasis_Recurrence_Subject.var_report.xml									phs001007.v1.p1	Carcinoma, squamous cell of head and neck
	1.0		03/22/2017	1.0		1.0	./data/phs001181.v1.pht005771.v1.p1.CLL_Multiple_Cell_Clones_Subject_Phenotypes.var_report.xml	0.0	1.0		1.0			1.0		phs001181.v1.p1	Leukemia, Lymphocytic, Chronic, B-Cell
			10/17/2011				./data/phs000265.v3.pht001273.v3.p1.HMP_Pediatric_Abdominal_Pain_IBD_Sample.var_report.xml									phs000265.v3.p1	Irritable Bowel Syndrome
			2021/05/07				./data/phs001327.v2.pht011191.v1.p1.schronicconditionsumm.var_report.xml									phs001327.v2.p1	Neoplasm
			11/18/2016				./data/phs001224.v1.pht005938.v1.p1.Platinum_Genomes_Subject.var_report.xml									phs001224.v1.p1	Computational Biology
			08/20/2013				./data/phs000285.v3.pht001669.v2.p2.C1F17.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			11/04/2014				./data/phs000086.v3.pht000350.v1.p1.EDIC_f0934.var_report.xml									phs000086.v3.p1	Insulin-Dependent Diabetes Mellitus
			2019/06/05				./data/phs001835.v1.pht009143.v1.p1.Ocular_Melanocytosis_UM_Sample_Attributes.var_report.xml									phs001835.v1.p1	Uveal melanoma
			07/09/2013				./data/phs000546.v1.pht003144.v1.p1.ESP_ISGS_Sample_Attributes.var_report.xml									phs000546.v1.p1	Stroke
			08/20/2013				./data/phs000285.v3.pht001715.v2.p2.D1F08A.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
44.0	44.0		06/01/2015	57.0		7.0	./data/phs000901.v1.pht004674.v1.p1.Parkinson_CSF_Biomarker_Subject_Phenotypes.var_report.xml	0.0	28.5	9.192	7.0			28.5		phs000901.v1.p1	Parkinson Disease
			2020/07/17				./data/phs000480.v1.pht002906.v1.p1.FBCS_Sample.var_report.xml									phs000480.v1.p1	Breast Neoplasms
			2018/05/15				./data/phs001311.v1.pht007936.v1.p1.adverse_event.var_report.xml									phs001311.v1.p1	Myotonia
			08/11/2011				./data/phs000365.v1.pht002264.v1.p1.XMEN_Disease_Subject.var_report.xml									phs000365.v1.p1	Immune System Diseases
			01/19/2010				./data/phs000219.v1.pht001067.v1.p1.d_csa03.var_report_2010_01_19.xml									phs000219.v1.p1	Alzheimer Disease
			10/22/2013				./data/phs000664.v1.pht003545.v1.p1.Genomic_Variations_Multi_Ethnic_Malaysia_Sample_Attributes.var_report.xml									phs000664.v1.p1	Population Groups
			10/05/2015				./data/phs000969.v1.pht004928.v1.p1.Sensorineural_Hearing_Loss_Subject.var_report.xml									phs000969.v1.p1	Bilateral deafness
			2020/06/18				./data/phs000280.v7.pht004035.v2.p1.ANTD05.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			11/08/2013				./data/phs000200.v9.pht000983.v4.p3.bmdhip_rel1.var_report.xml									phs000200.v9.p3	Women&#39;s Health
			2020/09/18				./data/phs001133.v1.pht007496.v1.p1.FOCI_Sample.var_report.xml									phs001133.v1.p1	Ovarian Neoplasms
			08/20/2013				./data/phs000285.v3.pht001635.v2.p2.B2F30.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			01/27/2017				./data/phs000428.v2.pht002613.v2.p2.HRS_Sample.var_report.xml									phs000428.v2.p2	Aging
			2018/10/19				./data/phs000492.v3.pht002708.v3.p2.Developmental_Brain_Disorders_Sample.var_report.xml									phs000492.v3.p2	Microcephaly
			10/25/2010				./data/phs000021.v3.pht002002.v1.p2.GAIN_Schizophrenia_Sample.var_report_2010_10_25.xml									phs000021.v3.p2	Schizophrenia
64.0	64.0		05/23/2012	93.0		29.0	./data/phs000409.v1.pht002737.v1.p1.WGS_Medulloblastoma_Subject_Phenotype.var_report.xml	0.0	46.5	24.75	29.0			46.5		phs000409.v1.p1	Medulloblastoma
8.0	8.0		02/09/2017	9.0		7.0	./data/phs001082.v1.pht005380.v1.p1.VZV_TCell_Pedigree.var_report.xml	0.0	7.5	0.7071	7.0			7.5		phs001082.v1.p1	Herpes Zoster
			08/20/2013				./data/phs000285.v3.pht001872.v1.p2.Z33A06.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			08/20/2013				./data/phs000285.v3.pht001692.v2.p2.C1FIBR.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2020/11/30				./data/phs002295.v1.pht010687.v1.p1.CIMAC_CIDC_NSCLC_Sample.var_report.xml									phs002295.v1.p1	Carcinoma, Non-Small-Cell Lung
3771.0	3771.0		05/11/2016	5890.0		541.0	./data/phs000963.v1.pht004858.v1.p1.Statins_CV_Subject_Phenotypes.var_report.xml	0.0	859.0	718.4	541.0			859.0		phs000963.v1.p1	Myocardial Revascularization
			2020/04/24				./data/phs001676.v1.pht009439.v1.p1.CCDG_Autism_SSC_Sample_Attributes.var_report.xml									phs001676.v1.p1	Autism Spectrum Disorder
			11/05/2014				./data/phs000209.v13.pht002515.v1.p3.MESA_AncilMesaFetuinA.var_report.xml									phs000209.v13.p3	Cardiovascular Diseases
			11/08/2013				./data/phs000200.v9.pht001510.v2.p3.outc_fracture_rel1.var_report.xml									phs000200.v9.p3	Women&#39;s Health
			2019/11/15				./data/phs000784.v3.pht004287.v1.p1.GenSalt_Sample_Attributes.var_report.xml									phs000784.v3.p1	Arterial Pressure, Mean
			2020/07/17				./data/phs001995.v1.pht009991.v1.p1.Himba_Subject.var_report.xml									phs001995.v1.p1	Sex
532.0	532.0		02/13/2015	931.0		834.0	./data/phs000867.v1.pht004483.v1.p1.FUSION_Cohort_Subject_Phenotypes.var_report.xml	0.0	925.0	26.16	834.0			925.0		phs000867.v1.p1	Diabetes Mellitus, Type 2
			2021/02/05				./data/phs002319.v1.pht010926.v1.p1.INVEST_Sample_Attributes.var_report.xml									phs002319.v1.p1	Heart Disease
985.0	94.0		07/27/2012	94.0		985.0	./data/phs000297.v1.pht002393.v1.p1.Resistant_HTN_Subject_Phenotypes.var_report.xml	0.0	75.0	889.1	94.0			75.0		phs000297.v1.p1	Hypertension
			2019/03/22				./data/phs001597.v1.pht008124.v1.p1.Bevacizumab_Hypertension_Subject.var_report.xml									phs001597.v1.p1	Hypertension
			2017/09/11				./data/phs000472.v2.pht002595.v2.p1.BRC77_Subject_Phenotypes.var_report.xml									phs000472.v2.p1	Breast Neoplasms
			2020/03/19				./data/phs001982.v1.pht010005.v1.p1.MFS_UPS_GEO.var_report.xml									phs001982.v1.p1	Sarcoma, Soft Tissue
