,n,male,female,unknown,date,filename,dataset_id
934,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000578.v2.p3.simphen179.var_report.xml,pht000578.v2
935,914.0,8,555,351.0,2019/03/11,./data/phs000286.v6.pht001941.v2.p2.bapa.var_report.xml,pht001941.v2
937,11.0,0,0,11.0,2020/11/13,./data/phs002019.v1.pht010172.v1.p1.SCCIS_Subject.var_report.xml,pht010172.v1
938,403.0,0,0,403.0,2020/11/10,./data/phs002172.v1.pht010662.v1.p1.GMKF_Microtia_Hispanic_Subject.var_report.xml,pht010662.v1
939,12.0,5,7,0.0,2021/04/27,./data/phs001908.v2.pht009531.v2.p1.Spatiotemporal_Cerebellum_Subject.var_report.xml,pht009531.v2
941,9.0,2,7,0.0,2020/01/21,./data/phs001936.v1.pht009648.v1.p1.Gastric_Cancer_BDI_Subject_Phenotypes.var_report.xml,pht009648.v1
945,4085.0,0,0,4085.0,2021/03/09,./data/phs002362.v1.pht011017.v1.p1.CSSCD_Subject.var_report.xml,pht011017.v1
946,5218.0,814,724,3680.0,2017/12/07,./data/phs001312.v1.pht007202.v1.p1.POAAGG_Sample_Attributes.var_report.xml,pht007202.v1
947,82.0,24,7,51.0,2019/09/19,./data/phs001877.v1.pht009482.v1.p1.Mycosis_Fungoides_Sample.var_report.xml,pht009482.v1
948,27.0,0,0,27.0,06/28/2017,./data/phs001338.v1.pht006364.v1.p1.Tibetan_High_Altitude_Adaptation_Subject_Phenotypes.var_report.xml,pht006364.v1
949,4.0,4,0,0.0,2021/03/31,./data/phs002365.v1.pht011087.v1.p1.BWS_Subject.var_report.xml,pht011087.v1
950,6.0,2,1,3.0,2018/05/31,./data/phs001316.v1.pht008014.v1.p1.sf_36.var_report.xml,pht008014.v1
951,46.0,1,10,35.0,2017/08/25,./data/phs001407.v1.pht006667.v1.p1.HNPCC_Sample_Attributes.var_report.xml,pht006667.v1
953,5.0,0,1,4.0,02/03/2014,./data/phs000706.v1.pht003667.v1.p1.RAD50_Hypomorphism_Sample_Attributes.var_report.xml,pht003667.v1
955,977.0,90,602,285.0,2020/12/21,./data/phs000007.v32.pht000391.v2.p13.eye0_1989s.var_report.xml,pht000391.v2
956,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000542.v2.p3.simphen143.var_report.xml,pht000542.v2
957,24.0,7,17,0.0,08/17/2012,./data/phs000518.v1.pht002849.v1.p1.ESP_Family_Studies_IB_Subject_Phenotypes.var_report.xml,pht002849.v1
958,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000553.v2.p3.simphen154.var_report.xml,pht000553.v2
959,1602.0,843,758,1.0,2021/08/19,./data/phs001662.v2.pht010057.v1.p1.LTRC_R040_subject_demographics.var_report.xml,pht010057.v1
962,80834.0,33200,47634,0.0,2018/02/01,./data/phs000788.v2.pht004626.v2.p3.RPGEH_Pedigree.var_report.xml,pht004626.v2
963,942.0,471,0,471.0,11/13/2015,./data/phs000985.v1.pht005104.v1.p1.PrCa_Risk_SNPs_Sample_Attributes.var_report.xml,pht005104.v1
964,3.0,2,1,0.0,2018/05/31,./data/phs001316.v1.pht008005.v1.p1.demographics.var_report.xml,pht008005.v1
966,12785.0,500,313,11972.0,09/03/2009,./data/phs000166.v2.pht000701.v1.p1.CAMP_LData.var_report_2009_09_03.xml,pht000701.v1
968,2757.0,807,637,1313.0,2021/01/26,./data/phs002068.v1.pht010872.v1.p1.SALSA_SGC_Sample.var_report.xml,pht010872.v1
969,1090.0,1090,0,0.0,2020/06/18,./data/phs000280.v7.pht004175.v2.p1.RTASBM24.var_report.xml,pht004175.v2
970,2235.0,884,1250,101.0,2021/01/27,./data/phs000584.v1.pht010797.v1.p1.CIDR_Longevity_Sample.var_report.xml,pht010797.v1
971,53.0,0,53,0.0,06/22/2016,./data/phs001146.v1.pht005545.v1.p1.Endometrial_Cells_eQTL_Subject_Phenotypes.var_report.xml,pht005545.v1
973,4203.0,1816,2387,0.0,2020/09/18,./data/phs002015.v1.pht010380.v1.p1.AREDS2_ENROLL.var_report.xml,pht010380.v1
974,19.0,0,0,19.0,02/27/2017,./data/phs001226.v1.pht006168.v1.p1.Embryonic_Development_Subject.var_report.xml,pht006168.v1
977,1239.0,535,704,0.0,2018/06/14,./data/phs001238.v2.pht006659.v1.p1.GENOA_EuropeanAmerican_Phase2_Exam.var_report.xml,pht006659.v1
978,42.0,26,16,0.0,09/24/2013,./data/phs000364.v2.pht002262.v2.p1.ChronicLymphocyticLeukemia_Subject_Phenotypes.var_report.xml,pht002262.v2
979,282.0,38,23,221.0,2020/12/15,./data/phs001473.v1.pht009690.v1.p1.Ibrutinib_CLL_Sample_Attributes.var_report.xml,pht009690.v1
986,10.0,6,4,0.0,2021/06/03,./data/phs001961.v1.pht011027.v1.p1.LungMAP_Subject.var_report.xml,pht011027.v1
989,3.0,1,2,0.0,2017/12/19,./data/phs001438.v1.pht006818.v1.p1.Cortical_Neurogenesis_Open_Chromatin_Subject.var_report.xml,pht006818.v1
990,715.0,360,355,0.0,2020/11/19,./data/phs002050.v1.pht010359.v1.p1.OICR_CRC_Subject_Phenotypes.var_report.xml,pht010359.v1
991,9.0,5,4,0.0,2018/11/05,./data/phs000507.v2.pht002927.v2.p2.BEN_Pedigree.var_report.xml,pht002927.v2
992,28.0,0,28,0.0,2019/04/04,./data/phs001768.v1.pht008693.v1.p1.Methylmercury_Pregnancy_Subject_Phenotypes.var_report.xml,pht008693.v1
993,411.0,151,230,30.0,2019/10/11,./data/phs001406.v1.pht007747.v1.p1.attix_test_retestds.var_report.xml,pht007747.v1
995,5731.0,0,0,5731.0,2021/02/11,./data/phs001140.v1.pht010945.v1.p1.ALCHEMIST_Sample.var_report.xml,pht010945.v1
996,93.0,49,44,0.0,2018/05/21,./data/phs001198.v1.pht007864.v1.p1.Methamphetamine_Abstinence_Sample.var_report.xml,pht007864.v1
999,80540.0,0,56414,24126.0,11/08/2013,./data/phs000200.v9.pht001005.v4.p3.f37_rel1.var_report.xml,pht001005.v4
1001,830.0,28,86,716.0,2020/02/27,./data/phs000452.v3.pht002592.v3.p1.MelanomaCIP_Sample_Attributes.var_report.xml,pht002592.v3
1005,34521.0,5,4003,30513.0,2020/06/18,./data/phs000280.v7.pht004053.v5.p1.CHRMPS16.var_report.xml,pht004053.v5
1006,2234.0,964,84,1186.0,2020/08/06,./data/phs001571.v1.pht009505.v1.p1.IBD_AA_Sample.var_report.xml,pht009505.v1
1008,1.0,0,1,0.0,01/26/2015,./data/phs000856.v1.pht004459.v1.p1.Chromothripsis_WHIM_Subject_Phenotypes.var_report.xml,pht004459.v1
1012,148.0,64,53,31.0,2020/06/30,./data/phs002049.v1.pht010296.v1.p1.Myeloid_Malignancies_Sample.var_report.xml,pht010296.v1
1013,529.0,194,335,0.0,01/22/2014,./data/phs000670.v1.pht003557.v1.p1.PGRN_AMPS_Sample_Attributes.var_report.xml,pht003557.v1
1016,7440.0,7440,0,0.0,08/29/2016,./data/phs000882.v1.pht005712.v1.p1.PEGASUS_EA_Subject.var_report.xml,pht005712.v1
1018,136.0,9,127,0.0,2019/06/14,./data/phs000589.v1.pht009186.v1.p1.demographic_form.var_report.xml,pht009186.v1
1020,54.0,30,24,0.0,06/17/2013,./data/phs000454.v1.pht003326.v1.p1.HIV_Susceptibility_Pedigree.var_report.xml,pht003326.v1
1021,43.0,7,3,33.0,01/05/2017,./data/phs001260.v1.pht006052.v1.p1.Antibiotic_Resistance_Sample.var_report.xml,pht006052.v1
1022,5890.0,3771,541,1578.0,05/11/2016,./data/phs000963.v1.pht004857.v1.p1.Statins_CV_Sample.var_report.xml,pht004857.v1
1023,761.0,761,0,0.0,10/21/2015,./data/phs001002.v1.pht005043.v1.p1.CALGB90401_Prostate_Cancer_Sample.var_report.xml,pht005043.v1
1025,601.0,281,319,1.0,2019/09/26,./data/phs000974.v4.pht004910.v4.p3.TOPMed_WGS_FHS_Sample.var_report.xml,pht004910.v4
1026,7479.0,3988,3491,0.0,04/12/2010,./data/phs000094.v1.pht001137.v1.p1.Oral_Clefts_Pedigree.var_report_2010_04_12.xml,pht001137.v1
1028,13.0,7,6,0.0,05/02/2012,./data/phs000478.v1.pht002657.v1.p1.Strabismus_Subject_Phenotypes.var_report.xml,pht002657.v1
1031,6.0,3,3,0.0,2019/10/07,./data/phs001854.v1.pht009253.v1.p1.BRAF_PA_Subject_Phenotypes.var_report.xml,pht009253.v1
1033,2754.0,0,2754,0.0,2020/06/18,./data/phs000280.v7.pht004179.v2.p1.RTASWF33.var_report.xml,pht004179.v2
1034,476.0,316,152,8.0,2021/07/13,./data/phs001545.v2.pht009966.v1.p1.TOPMed_CCDG_INSPIRE_AF_Subject_Phenotypes.var_report.xml,pht009966.v1
1036,26.0,19,7,0.0,2021/09/14,./data/phs002545.v1.pht011486.v1.p1.MSS_CRC_PDAC_Subject_Phenotypes.var_report.xml,pht011486.v1
1037,1573.0,749,821,3.0,2018/05/14,./data/phs001396.v1.pht006736.v1.p1.Pigmentation_Eastern_Southern_African_Sample.var_report.xml,pht006736.v1
1038,300.0,94,47,159.0,2018/11/19,./data/phs001178.v1.pht008547.v1.p1.GMKF_DSD_Subject.var_report.xml,pht008547.v1
1040,946.0,801,89,56.0,06/25/2015,./data/phs000634.v1.pht003832.v1.p1.Lung_Cancer_Never_Smokers_Sample_Attributes.var_report.xml,pht003832.v1
1041,762.0,392,370,0.0,2020/07/17,./data/phs000481.v3.pht002659.v3.p2.Cholesterol_and_Pharmacogenetics_Subject.var_report.xml,pht002659.v3
1043,14.0,0,14,0.0,08/22/2016,./data/phs001152.v1.pht005534.v1.p1.Endometrial_Carcinosarcomas_Subject.var_report.xml,pht005534.v1
1049,84.0,6,7,71.0,2018/07/18,./data/phs001618.v1.pht008228.v1.p1.TIL_NSCLC_Sample_Attributes.var_report.xml,pht008228.v1
1053,886.0,485,401,0.0,Tue Feb 26 18:05:10 2008,./data/phs000048.v1.pht000071.v1.p1.uploaddemo.var_report_2008_08_12.xml,pht000071.v1
1054,74.0,30,44,0.0,05/26/2016,./data/phs000886.v1.pht004648.v1.p1.Asthma_MZ_Twins_Sample.var_report.xml,pht004648.v1
1057,143.0,0,143,0.0,2020/01/16,./data/phs001960.v1.pht009822.v1.p1.Osteoporosis_Risk_Subject.var_report.xml,pht009822.v1
1059,22.0,13,9,0.0,2019/07/25,./data/phs001864.v1.pht009264.v1.p1.MAPK_HCL_SH_Sample.var_report.xml,pht009264.v1
1061,1460.0,87,99,1274.0,2019/08/18,./data/phs001201.v2.pht007555.v2.p1.AsPIRES_HINT_Sample.var_report.xml,pht007555.v2
1062,28.0,15,13,0.0,08/26/2013,./data/phs000656.v1.pht003480.v1.p1.Influenza_Vaccination_B_cell_Recall_Subject.var_report.xml,pht003480.v1
1065,13.0,7,6,0.0,2021/07/07,./data/phs002436.v1.pht011377.v1.p1.TIL_Infusion_Subject_Phenotypes.var_report.xml,pht011377.v1
1069,20.0,0,20,0.0,09/10/2013,./data/phs000601.v1.pht003515.v1.p1.Heritable_Breast_Cancer_Sample.var_report.xml,pht003515.v1
1070,12.0,0,12,0.0,2020/08/19,./data/phs002075.v1.pht010457.v1.p1.Chorioamniotic_Membranes_Subject.var_report.xml,pht010457.v1
1072,28.0,8,7,13.0,08/21/2014,./data/phs000758.v1.pht003999.v1.p1.Congenital_Heart_Defects_Pedigree.var_report.xml,pht003999.v1
1073,715.0,0,0,715.0,2018/05/01,./data/phs001568.v1.pht007873.v1.p1.CLL_Sample_Attributes.var_report.xml,pht007873.v1
1075,22.0,0,0,22.0,2018/07/18,./data/phs001615.v1.pht008241.v1.p1.RA_FLS_Subject.var_report.xml,pht008241.v1
1077,25.0,13,12,0.0,2020/02/06,./data/phs001430.v2.pht008084.v2.p1.demographics.var_report.xml,pht008084.v2
1078,704.0,54,85,565.0,2020/04/29,./data/phs000185.v7.pht003719.v2.p1.Hutterites_Fecal_Microbiome_Sample_Attributes.var_report.xml,pht003719.v2
1081,37.0,1,2,34.0,2017/12/19,./data/phs001438.v1.pht006821.v1.p1.Cortical_Neurogenesis_Open_Chromatin_Sample_Attributes.var_report.xml,pht006821.v1
1083,1880.0,1059,821,0.0,2021/08/11,./data/phs002480.v1.pht011395.v1.p1.Glomerular_Disorders_Subject_Phenotypes.var_report.xml,pht011395.v1
1086,121.0,114,7,0.0,2021/07/09,./data/phs001544.v2.pht009896.v1.p1.TOPMed_CCDG_MPP_Subject.var_report.xml,pht009896.v1
1087,19.0,19,0,0.0,2017/08/17,./data/phs001399.v1.pht006680.v1.p1.Neoadjuvant_Adjuvant_Therapies_Subject.var_report.xml,pht006680.v1
1089,22.0,0,0,22.0,2021/02/03,./data/phs001018.v1.pht010914.v1.p1.Clinical_Renal_Tumors_Sample_Attributes.var_report.xml,pht010914.v1
1090,82.0,8,8,66.0,2019/06/19,./data/phs001776.v1.pht009209.v1.p1.LTG_Pancreas_QTL_Sample.var_report.xml,pht009209.v1
1094,611.0,168,443,0.0,2018/06/14,./data/phs001238.v2.pht006031.v1.p1.GENOA_AfricanAmerican_CKD_Labs.var_report.xml,pht006031.v1
1095,198.0,50,30,118.0,2020/12/22,./data/phs002301.v1.pht010815.v1.p1.Skull_Based_Chordoma_Sample.var_report.xml,pht010815.v1
1096,1200.0,427,773,0.0,2018/11/05,./data/phs000507.v2.pht002929.v2.p2.BEN_Subject_Phenotypes.var_report.xml,pht002929.v2
1097,5418.0,2532,2823,63.0,2019/10/01,./data/phs001416.v2.pht009015.v1.p1.TOPMed_WGS_MESA_Sample_Attributes.var_report.xml,pht009015.v1
1100,109.0,21,13,75.0,02/27/2017,./data/phs001036.v1.pht005271.v1.p1.Acral_Melanoma_Sample_Attributes.var_report.xml,pht005271.v1
1101,6.0,0,0,6.0,2021/04/09,./data/phs002316.v1.pht011109.v1.p1.TEA_seq_Subject.var_report.xml,pht011109.v1
1102,91.0,54,37,0.0,05/17/2017,./data/phs001328.v1.pht006310.v1.p1.demographics.var_report.xml,pht006310.v1
1104,18.0,15,3,0.0,09/18/2014,./data/phs000792.v1.pht004248.v1.p1.MPNST_Subject.var_report.xml,pht004248.v1
1105,38.0,0,19,19.0,08/25/2016,./data/phs001153.v1.pht005695.v1.p1.Endometrioid_Endometrial_Carcinoma_Sample.var_report.xml,pht005695.v1
1108,9955.0,596,767,8592.0,08/14/2014,./data/phs000615.v1.pht003306.v1.p1.IschemicStroke_Sample.var_report.xml,pht003306.v1
1109,354.0,81,273,0.0,2019/11/27,./data/phs001884.v1.pht009639.v1.p1.Giftedness_Saudi_Arabia_Sample.var_report.xml,pht009639.v1
1112,993.0,894,99,0.0,02/18/2016,./data/phs001057.v1.pht005302.v1.p1.immport_linkage.var_report.xml,pht005302.v1
1113,337.0,252,83,2.0,2021/05/24,./data/phs000922.v2.pht004926.v2.p1.CLL8_Cohort_Subject_Phenotypes.var_report.xml,pht004926.v2
1115,31.0,20,11,0.0,2017/08/02,./data/phs001384.v1.pht006739.v1.p1.Polyp_To_Cancer_Subject.var_report.xml,pht006739.v1
1121,298.0,100,182,16.0,2019/04/19,./data/phs001295.v2.pht006238.v2.p1.cmt_disability_survey.var_report.xml,pht006238.v2
1122,424.0,214,210,0.0,2021/08/06,./data/phs001682.v2.pht009765.v1.p1.TOPMed_WGS_PUSH_SCD_Sample_Attributes.var_report.xml,pht009765.v1
1123,9225.0,894,515,7816.0,2021/04/07,./data/phs001349.v2.pht010327.v1.p1.TGCT_Subject.var_report.xml,pht010327.v1
1124,53.0,25,6,22.0,2018/04/16,./data/phs001326.v1.pht007806.v1.p1.p6902_17410_day0hcttr.var_report.xml,pht007806.v1
1128,395.0,73,95,227.0,10/27/2014,./data/phs000727.v1.pht003865.v1.p1.Alzheimers_Parkinsons_Extracellular_miRNA_Sample_Attributes.var_report.xml,pht003865.v1
1129,339.0,0,35,304.0,2019/11/14,./data/phs001922.v1.pht009619.v1.p1.Chromosome_Errors_Oocytes_Sample_Attributes.var_report.xml,pht009619.v1
1131,266.0,129,137,0.0,Mon Jun 16 14:31:57 2008,./data/phs000102.v1.pht000189.v1.p1.cde_ctl.var_report_2008_08_12.xml,pht000189.v1
1133,311.0,0,0,311.0,2020/07/30,./data/phs001714.v1.pht010433.v1.p1.GMKF_Osteosarcoma_Sample.var_report.xml,pht010433.v1
1134,6.0,0,1,5.0,09/11/2014,./data/phs000795.v1.pht004016.v1.p1.Gastric_Cancer_Metastasis_Sample_Attributes.var_report.xml,pht004016.v1
1135,9335.0,4392,4943,0.0,2018/12/27,./data/phs000756.v1.pht008613.v1.p1.FINRISK_Subject_Phenotypes.var_report.xml,pht008613.v1
1136,859.0,497,362,0.0,07/18/2014,./data/phs000775.v1.pht003946.v1.p1.Molecular_Genetics_Schizophrenia_Sample_Attributes.var_report.xml,pht003946.v1
1139,10.0,10,0,0.0,2021/07/19,./data/phs002229.v1.pht010554.v1.p1.GCT_PrimaryMetastasis_Subject.var_report.xml,pht010554.v1
1140,340.0,177,163,0.0,2021/04/06,./data/phs001163.v1.pht011097.v1.p1.Chernobyl_Radiation_Sample.var_report.xml,pht011097.v1
1141,2587.0,533,761,1293.0,2018/06/13,./data/phs001490.v1.pht008135.v1.p1.T2D_GENES_BioMe_Subject.var_report.xml,pht008135.v1
1142,424.0,214,210,0.0,2021/08/06,./data/phs001682.v2.pht009763.v1.p1.TOPMed_WGS_PUSH_SCD_Sample.var_report.xml,pht009763.v1
1143,1.0,0,1,0.0,01/05/2016,./data/phs001028.v1.pht005128.v1.p1.Circulating_Tumor_Cells_MBC_Subject.var_report.xml,pht005128.v1
1144,14939.0,6783,8156,0.0,2020/06/18,./data/phs000280.v7.pht004132.v2.p1.MSRCOD07.var_report.xml,pht004132.v2
1146,6065.0,612,3470,1983.0,02/13/2014,./data/phs000372.v1.pht002858.v1.p1.ADGC_Subject_Phenotypes.var_report.xml,pht002858.v1
1148,38.0,8,10,20.0,03/07/2016,./data/phs001084.v1.pht005329.v1.p1.Colorectal_Tumors_Primary_Metastatic_Sample_Attributes.var_report.xml,pht005329.v1
1150,252.0,30,66,156.0,2021/01/15,./data/phs002240.v1.pht010863.v1.p1.Sex_Differences_Placentas_Sample.var_report.xml,pht010863.v1
1151,160.0,13,147,0.0,2018/10/02,./data/phs001702.v1.pht008426.v1.p1.Lupus_eQTL_Sample.var_report.xml,pht008426.v1
1152,186.0,87,99,0.0,2019/08/18,./data/phs001201.v2.pht007554.v2.p1.AsPIRES_HINT_Subject.var_report.xml,pht007554.v2
1153,1271.0,653,618,0.0,2021/07/15,./data/phs001600.v2.pht011019.v2.p2.TOPMed_CCDG_CATHGEN_Subject.var_report.xml,pht011019.v2
1154,469.0,87,87,295.0,2018/03/09,./data/phs000783.v2.pht004281.v2.p1.CDH_Subject_Phenotypes.var_report.xml,pht004281.v2
1155,122.0,0,122,0.0,2019/11/14,./data/phs001865.v1.pht009611.v1.p1.AAMP_Subject_Phenotypes.var_report.xml,pht009611.v1
1156,238.0,126,112,0.0,2020/06/10,./data/phs002037.v1.pht010267.v1.p1.Mg_Deficiency_CRC_Subject_Phenotypes.var_report.xml,pht010267.v1
1157,30.0,5,9,16.0,2020/01/10,./data/phs001834.v1.pht009422.v1.p1.Fuchs_Corneal_Dystrophy_Subject_Phenotypes.var_report.xml,pht009422.v1
1158,20.0,9,11,0.0,2019/08/29,./data/phs001333.v2.pht006528.v2.p1.demographics.var_report.xml,pht006528.v2
1159,2938.0,998,198,1742.0,2019/10/08,./data/phs000224.v3.pht002181.v3.p2.VitGene_Vitiligo_Sample.var_report.xml,pht002181.v3
1160,6136.0,2995,3119,22.0,2019/07/16,./data/phs001826.v1.pht009140.v1.p1.IHS_Depression_Sample_Attributes.var_report.xml,pht009140.v1
1162,98.0,0,56,42.0,2019/12/19,./data/phs001937.v1.pht009709.v1.p1.PEPP3_Sample.var_report.xml,pht009709.v1
1163,302.0,152,150,0.0,2019/03/11,./data/phs001717.v1.pht008579.v1.p1.Placental_Regulation_Sample.var_report.xml,pht008579.v1
1164,193.0,162,31,0.0,2018/03/20,./data/phs001559.v1.pht007660.v1.p1.Oxycodone_Abuse_Subject.var_report.xml,pht007660.v1
1167,1342.0,532,800,10.0,2021/05/20,./data/phs000972.v5.pht005681.v2.p1.TOPMed_WGS_Samoans_Adiposity_Sample_Attributes.var_report.xml,pht005681.v2
1168,65.0,19,4,42.0,11/30/2015,./data/phs001007.v1.pht005067.v1.p1.HNSCC_Metastasis_Recurrence_Sample.var_report.xml,pht005067.v1
1170,2.0,0,1,1.0,05/20/2015,./data/phs000898.v1.pht004644.v1.p1.Colorectal_Cancer_Mb_Scale_Haplotypes_Sample_Attributes.var_report.xml,pht004644.v1
1175,20.0,0,0,20.0,2021/01/22,./data/phs001962.v1.pht009820.v1.p1.PTCL_Subject_Phenotypes.var_report.xml,pht009820.v1
1179,939.0,0,939,0.0,2019/09/06,./data/phs001885.v1.pht009428.v1.p1.ECAC_European_Subject.var_report.xml,pht009428.v1
1180,128.0,0,0,128.0,2020/09/30,./data/phs001951.v1.pht009783.v1.p1.Relapsed_ALL_Sample.var_report.xml,pht009783.v1
1181,6.0,3,3,0.0,01/26/2015,./data/phs000837.v1.pht004439.v1.p1.22q11DS_Pedigree.var_report.xml,pht004439.v1
1182,20.0,9,11,0.0,02/23/2016,./data/phs001038.v1.pht005209.v1.p1.Melanoma_DNMTi_Immunotherapy_Sample_Attributes.var_report.xml,pht005209.v1
1183,879.0,879,0,0.0,2020/06/18,./data/phs000280.v7.pht004220.v2.p1.UBMFBM02.var_report.xml,pht004220.v2
1185,11.0,0,0,11.0,2020/11/13,./data/phs002019.v1.pht010174.v1.p1.SCCIS_Subject_Phenotypes.var_report.xml,pht010174.v1
1186,211.0,73,30,108.0,01/09/2017,./data/phs001244.v1.pht006058.v1.p1.NPC_WES_Sample_Attributes.var_report.xml,pht006058.v1
1187,14940.0,6784,8156,0.0,2020/06/18,./data/phs000280.v7.pht004063.v2.p1.DERIVE13.var_report.xml,pht004063.v2
1189,366.0,0,0,366.0,2019/01/15,./data/phs001175.v2.pht007755.v2.p2.CTSP_Subject.var_report.xml,pht007755.v2
1190,6.0,4,2,0.0,2019/05/02,./data/phs001378.v1.pht006690.v1.p1.FL_Tumors_Sample.var_report.xml,pht006690.v1
1191,82.0,43,39,0.0,2017/09/19,./data/phs001426.v1.pht006914.v1.p1.T1DGC_RNASeq_Subject.var_report.xml,pht006914.v1
1192,640.0,468,172,0.0,2021/08/18,./data/phs001725.v2.pht010093.v1.p1.TOPMed_CCDG_GGAF_Sample.var_report.xml,pht010093.v1
1194,9.0,4,5,0.0,2020/06/18,./data/phs000280.v7.pht006474.v1.p1.RETP1.var_report.xml,pht006474.v1
1195,8.0,0,0,8.0,2020/12/10,./data/phs002065.v1.pht010769.v1.p1.Genitourinary_Cancers_Subject.var_report.xml,pht010769.v1
1198,899.0,0,899,0.0,2021/05/04,./data/phs002387.v1.pht011178.v1.p1.GBHS_Subject_Phenotypes.var_report.xml,pht011178.v1
1199,503.0,92,60,351.0,01/25/2016,./data/phs001058.v1.pht005237.v1.p1.MIGen_BioImage_Subject_Phenotypes.var_report.xml,pht005237.v1
1201,400.0,167,233,0.0,09/16/2009,./data/phs000211.v1.pht000912.v1.p1.NIGMS_Variation_Panels_Data.var_report_2009_09_16.xml,pht000912.v1
1202,3128.0,1232,1425,471.0,2018/07/23,./data/phs000742.v1.pht008123.v1.p1.7_16_EEG.var_report.xml,pht008123.v1
1203,1570.0,749,821,0.0,2018/05/14,./data/phs001396.v1.pht006737.v1.p1.Pigmentation_Eastern_Southern_African_Subject_Phenotypes.var_report.xml,pht006737.v1
1211,17.0,13,4,0.0,2021/01/26,./data/phs001427.v2.pht007486.v1.p1.Melanoma_CPB_Resistance_Subject_Phenotypes.var_report.xml,pht007486.v1
1215,932.0,415,517,0.0,2019/10/11,./data/phs001406.v1.pht007746.v1.p1.cantabds.var_report.xml,pht007746.v1
1216,158.0,33,125,0.0,2020/12/15,./data/phs001404.v1.pht010786.v1.p1.GBC_Subject.var_report.xml,pht010786.v1
1217,129.0,66,0,63.0,2020/01/30,./data/phs001698.v1.pht009602.v1.p1.BPH_Sample.var_report.xml,pht009602.v1
1221,59.0,0,0,59.0,02/10/2014,./data/phs000689.v1.pht003681.v1.p1.Peripheral_T_Cell_Lymphomas_Sample_Attributes.var_report.xml,pht003681.v1
1222,120.0,79,41,0.0,2021/06/23,./data/phs001435.v2.pht009876.v1.p1.TOPMed_WGS_AustralianFamilialAF_Sample_Attributes.var_report.xml,pht009876.v1
1226,2.0,2,0,0.0,10/24/2016,./data/phs001214.v1.pht005877.v1.p1.Simul_seq_Subject_Phenotypes.var_report.xml,pht005877.v1
1230,56906.0,6744,8360,41802.0,2020/06/18,./data/phs000280.v7.pht001441.v7.p1.ARIC_Sample.var_report.xml,pht001441.v7
1231,72.0,0,0,72.0,2021/01/06,./data/phs001383.v1.pht010794.v1.p1.Moebius_Syndrome_Sample_Attributes.var_report.xml,pht010794.v1
1235,820.0,820,0,0.0,08/26/2013,./data/phs000619.v1.pht003354.v1.p1.Autism_Epigenetics_Relatives.var_report.xml,pht003354.v1
1236,36.0,17,19,0.0,2019/08/01,./data/phs001786.v1.pht008838.v1.p1.SU2C_GEMM_Subject_Phenotypes.var_report.xml,pht008838.v1
1238,859.0,91,59,709.0,11/25/2013,./data/phs000682.v1.pht003594.v1.p1.Neuropsychiatric_Neurodevelopmental_Disorders_Subject.var_report.xml,pht003594.v1
1239,70.0,38,32,0.0,2021/04/23,./data/phs002228.v1.pht010859.v1.p1.Deamination_Leukemia_Subject_Phenotypes.var_report.xml,pht010859.v1
1241,539.0,0,539,0.0,2019/02/22,./data/phs001739.v1.pht008793.v1.p1.sPTB_Subject.var_report.xml,pht008793.v1
1242,9917.0,3664,6253,0.0,2021/02/26,./data/phs001754.v4.pht009111.v3.p2.Spit4Science_Sample_Attributes.var_report.xml,pht009111.v3
1243,219.0,5,10,204.0,2019/03/28,./data/phs001346.v1.pht006257.v1.p1.CPS_Immunization_P_Falciparum_Sample_Attributes.var_report.xml,pht006257.v1
1245,278.0,0,0,278.0,2020/11/02,./data/phs002130.v1.pht010594.v1.p1.GMKF_CFM_Subject.var_report.xml,pht010594.v1
1247,3333.0,841,812,1680.0,2017/09/15,./data/phs001173.v1.pht005669.v1.p1.Head_Neck_Cancer_GWAS_Subject.var_report.xml,pht005669.v1
1248,913.0,374,539,0.0,2018/06/14,./data/phs001238.v2.pht006658.v1.p1.GENOA_EuropeanAmerican_Phase2_Brain.var_report.xml,pht006658.v1
1250,300.0,94,47,159.0,2018/11/19,./data/phs001178.v1.pht008548.v1.p1.GMKF_DSD_Pedigree.var_report.xml,pht008548.v1
1252,4.0,0,0,4.0,2017/12/12,./data/phs000676.v2.pht003588.v2.p2.Breast_Tissues_Sequence_Analysis_Subject_Phenotypes.var_report.xml,pht003588.v2
1253,133.0,6,9,118.0,2021/09/28,./data/phs002001.v1.pht010099.v1.p1.Osimertinib_EGFR_LC_Sample_Attributes.var_report.xml,pht010099.v1
1255,113.0,38,32,43.0,2021/04/23,./data/phs002228.v1.pht010860.v1.p1.Deamination_Leukemia_Sample_Attributes.var_report.xml,pht010860.v1
1260,9.0,0,6,3.0,2017/08/14,./data/phs000803.v2.pht004565.v2.p1.Colon_Cancer_Sample.var_report.xml,pht004565.v2
1261,424.0,199,225,0.0,04/17/2017,./data/phs000816.v2.pht004343.v2.p1.X_Chromosome_Inactivation_Subject_Phenotypes.var_report.xml,pht004343.v2
1264,932.0,304,628,0.0,2021/08/10,./data/phs001467.v2.pht009732.v2.p2.TOPMed_WGS_SAPPHIRE_Sample_Attributes.var_report.xml,pht009732.v2
